DESTINATION_LOC_ID,DESTINATION_DW_LOC_ID,ORIGIN_LOC_ID,ORIGIN_DW_LOC_ID,TRNSP_MODE_NM,TRNSP_MVMT_VAL,VHCL_LOAD_VAL,VHCL_UNLD_VAL,TPLN_IND,ORIGIN_CRU_ID,DESTINATION_CRU_ID,SYS_ID,DW_CRTD_DTM,DW_UPDT_DTM
01HWZ0XB5WR51XGE5QD2CVCGFP,88a95996-865e-46c9-9316-7f17cd5b7194,bb419364-8017-44c8-8887-27a42165e747,7711b186-527d-4391-a8b8-ec6e8b461f43,db12d460-64c0-44a7-8e02-d3cb6e32ae28,01HWZ0XB5XGNCNMMWW6WPZ8NTA,01HWZ0XB5X1VPH06Z1QFAEK04X,01HWZ0XB5X8FGDCA815H7656HZ,01HWZ0XB5XVQCRS3EF5JA9MG8K,01HWZ0XB5X58PKVS8SEPSJ8VXV,01HWZ0XB5X2VME9VWKSVTVVJQV,01HWZ0XB5XY8R8MA171FENQ3Z7,01HWZ0XB5XCEERK9EPWHP22ND0,01HWZ0XB5Y0NZY7A4YVQR0V7CW
01HWZ0XB5Y78F12JZFNQND6VP8,45682876-debf-4b2e-94e7-fe0350daa084,558d9b8a-bca1-4331-a863-1690b8a4fbc0,d1974220-da35-4216-bf0e-16149887871a,24a25f02-4cb3-4cd6-a932-5b09ac6ffe90,01HWZ0XB5YKAAHGKGYF0CV6DGP,01HWZ0XB5YTFCX48VKV7HHHTSB,01HWZ0XB5YF7Y5BYGTJWH5EEDF,01HWZ0XB5YSAM95WRZB9M1CY7N,01HWZ0XB5YDWD908X3TDGWANK1,01HWZ0XB5ZRS85MED3SZ58K6RB,01HWZ0XB5ZHQPPQB49SMK09FGW,01HWZ0XB5ZNZH4MDBMCQ1XJF5S,01HWZ0XB5ZA9PGR232AF29J0QG
01HWZ0XB5ZQ5BB2CG00GT6Y9C9,0c8ed622-91e5-4333-a645-407979f5ec34,28fb65e1-20c6-43ee-89e7-2b7ed1776811,dc357321-9148-435c-b422-5b6551de6d62,e12e7f8f-0429-477d-96a9-88a59be8f82b,01HWZ0XB60PNH20A4B0ZJRF3B6,01HWZ0XB60A19XTJBXN1R429QH,01HWZ0XB609PMBJF78480SYE5H,01HWZ0XB60RR5G1VTK06Q7WTG3,01HWZ0XB608MS2VFBFAE35KW1R,01HWZ0XB60K81QZR4R4NHVCGQD,01HWZ0XB6003Z4TPE1ZCMD8MW2,01HWZ0XB60367E8ZD5TMDF7EK9,01HWZ0XB61Q3C1NBPEADXMGY6M
01HWZ0XB61P6WEWGSY7AS69VXR,cc41f12b-df05-4ef7-86f9-c3175b6b8779,113c872b-8e5b-4749-8e2d-148a43e45082,10d8144e-288a-4f22-ac32-b319b215cb14,9da0811c-8c12-4443-bfbc-ac27e5cbbf69,01HWZ0XB61DQ8MWKMN0W5QVR8T,01HWZ0XB61WPC6PZQ98K4GR7Q0,01HWZ0XB61NZX90YANC5C592XE,01HWZ0XB61SKRX3ME93PYSXM8A,01HWZ0XB61C9JN53FPJD66RFDZ,01HWZ0XB62QWRYD2EFBMBJ16K7,01HWZ0XB62AC37FWG85W5EA4XH,01HWZ0XB62X4VSR0EAZHWGTQ8B,01HWZ0XB62T4J80PYEBR73FBPG
01HWZ0XB62JJ1S3RP40PS3JYAB,b860c8bc-921c-41aa-bf30-8419d243a893,bea639c2-d761-4ee4-ad3b-54116d9461a5,906f3e4b-318e-414a-a229-4c64d39c2338,31a05a13-bb6e-40e5-b366-c4cbb946e748,01HWZ0XB6341S7GA48SVC9MWZS,01HWZ0XB63SVHXRRZCSVGVZDB3,01HWZ0XB630880F2WJ0D4NNB09,01HWZ0XB6341PGQNJHSNXQ0GR0,01HWZ0XB6358MQPSXG3E740FF3,01HWZ0XB635W7PFFPXBJYJXAG4,01HWZ0XB630NJARCEEXZ08Y0KW,01HWZ0XB630NVJKNJN6VDBPHP3,01HWZ0XB63KXJDKSB95D3HAA4Z
01HWZ0XB646C3CT6B2YDMPVPYC,6ebe55c3-009b-4edc-bd7e-84a072e4225c,7719e467-ef16-4401-ae6d-42be39fcfbcc,cdf2676f-5a6e-47fb-a7a8-02302ec27527,5e97f498-01c4-4107-ac1c-061f4072cf57,01HWZ0XB649PNKQ5CSZ8HPM4FD,01HWZ0XB64XST51CZ56GX2W85M,01HWZ0XB649A47E8A6GB126HFC,01HWZ0XB642BXK8HEMB5QMSJJ0,01HWZ0XB64X1GTCRP3MC3A5R5R,01HWZ0XB64XMF3AD18Z3S9ZASV,01HWZ0XB6518E5GMEPW9JB26YP,01HWZ0XB65JB2361521SG8R8YM,01HWZ0XB653ERJCPJ8AQJVD7G3
01HWZ0XB65JJNA2G1B2949PJS9,ed72cb47-d0d8-46ed-a41f-e49a5d3f6501,74a054b7-8d59-4a3f-b53a-9c1634904308,82ff1e27-f7c0-407e-8ced-4f74c3cbeb0c,5056a894-6cab-4ce3-a08e-5863dbb502bb,01HWZ0XB657C1KFB44DR4MXXRS,01HWZ0XB65BJ1KK436MSWSJ3ZV,01HWZ0XB66DYQMVYN1WWEXY6XQ,01HWZ0XB66M7W8KAS0GAKM9XNG,01HWZ0XB66RYNPW6A1DS5FBKKJ,01HWZ0XB66SCB0DFH8NE4HVDNF,01HWZ0XB66YNRZB0R2F3E7GQSF,01HWZ0XB66C3XNBA1PTEMNGJHE,01HWZ0XB66M5DJKZ0RF6PAC74V
01HWZ0XB666TS17S4G8DZTQQ7V,ca295dc9-14e1-44c4-943d-91da4e16ecbf,01ac9567-2c5a-4438-8c92-657442871130,74f585fd-b0c5-4b07-8e73-3a54427c5a3c,c892fefb-092c-469c-ba62-dd6382a9811a,01HWZ0XB6718AS1K6D8RAR27EC,01HWZ0XB67T2GWCP6PE13BAFCQ,01HWZ0XB67WVPF3B0BE5XM1DQ6,01HWZ0XB6831J8T5FMMNGC43XT,01HWZ0XB683A1EE41ZPW9X0V5X,01HWZ0XB68BN9T85GWGYNKW01K,01HWZ0XB68GWHTZNWN9DSVT98K,01HWZ0XB68J1VHE5B3V7X8XQS3,01HWZ0XB68Q05C8JHASMGEWSTM
01HWZ0XB69X9VAJ5N6070HVG7X,49f05c55-4617-4755-92d6-db02cb5dad23,36bca88a-5171-4b72-abd0-6d44160b3d1d,d5cc9c1c-eac9-438a-b894-ff2062edc8ec,6f316c66-f5f9-4727-99f8-97abd0f5f847,01HWZ0XB69QDXR9SYG4VP7Z0WN,01HWZ0XB69XYYGFH761FH0PBV5,01HWZ0XB69JCQ6PK05W441Y37M,01HWZ0XB69BMNJFAM4Q1NMCQY7,01HWZ0XB69ZAT9TZHWYEJYYGW4,01HWZ0XB6AP9D0HNKWEVHQDHAD,01HWZ0XB6A1SV4X73K7Z5JS5F4,01HWZ0XB6AYXS96N0KGWCC3K9W,01HWZ0XB6AQ68N63CCPGYSZ0TR
01HWZ0XB6AC1TJV9FDT74ED12E,f3380e19-68d2-41c0-8c3e-2547448677ac,580c2145-92f6-4d0f-8fb0-31b3b43a2079,e1a3e795-865c-49bc-a342-810d978131f1,8f8969d8-7cc8-4825-bb73-12f7d8d2ffac,01HWZ0XB6A26WD08MKDDARKZWG,01HWZ0XB6A5A9G00MA0XZMS2MS,01HWZ0XB6BHHT32E8KHMG3RMG0,01HWZ0XB6B2AYXZPVZE3DM8FM2,01HWZ0XB6BJTQXYRW1QYNXGZZ5,01HWZ0XB6BHSYEEX3EHYD1JEKM,01HWZ0XB6B079J83VK8V7B7YEA,01HWZ0XB6B4KCYSMDTDGKS9N2B,01HWZ0XB6BPBDC2TRGC2AH62EA
01HWZ0XB6B6PC9MK8FE1A5VNRV,2e47729f-06d7-444c-9d39-4de9afd0859b,e2b18680-66d4-4fba-9728-66237dc7aced,7317b9ea-35ef-458d-82f2-e34b7f7ab1d9,913e55ac-0dc5-44a4-9711-214cd13904cd,01HWZ0XB6D1YSVXKJRSQJB9HA6,01HWZ0XB6D6VVNMNPV4Z2XJ052,01HWZ0XB6D35JXC2VSVX8FEMY4,01HWZ0XB6DZ1PWBWMTEA0TCA3H,01HWZ0XB6DPP9Z9ETNCG9H8SGT,01HWZ0XB6D7QRJFEAGTENGENWN,01HWZ0XB6DYSYZJC0Q1DKBB2WS,01HWZ0XB6DPX67G8ZJ6R6FN34B,01HWZ0XB6D92NR5VGCYG5CVDZ3
01HWZ0XB6EPFS57YCV1JGQQRJC,2e9824b7-20d8-4bb3-baf9-fb3d97b22859,619576cb-7644-4677-87be-75e193ea12d7,087904fc-88b6-42db-84bc-2e9b426867bd,3903ea61-2834-4a2b-a117-6846aedc0b44,01HWZ0XB6E5A7NSFEXCAVT3VGR,01HWZ0XB6EMFAE3QSR77VRVEJ5,01HWZ0XB6EGSZXA42107V1Z62A,01HWZ0XB6EDCCXBPKGE5G3S1Z6,01HWZ0XB6E94DFK623RSQ1GE2P,01HWZ0XB6F854Y1WMY23KMR3TQ,01HWZ0XB6FN48VD4M0ECF7X86Z,01HWZ0XB6F3SETPKCT2CAZ9AWF,01HWZ0XB6FQZG1TA13BCFH5S0F
01HWZ0XB6FHJ9NTQFB4W621H3Z,23d89583-5710-45c8-917e-7f0431da70df,2608450a-2299-45f7-8d36-8473f811ffd6,c71f6aec-832e-4f65-99dc-027b4af3f6bb,8074e343-7a97-4913-9f2e-3e566035f48e,01HWZ0XB6F4KKFFEBF35AJ5FRJ,01HWZ0XB6GSS9ACHSKG408JS11,01HWZ0XB6GHANZK58RCNSN0NZK,01HWZ0XB6GVG20A3BNN8JRC0R2,01HWZ0XB6GED17449RGGWMZ93W,01HWZ0XB6GM1RBBQ7RK652XPFJ,01HWZ0XB6G5HV4NKHGZ50EGQCE,01HWZ0XB6GQEA02MFZQDPSTPQW,01HWZ0XB6G23KXJFTEWJMPFPTH
01HWZ0XB6GSAJM80YX8VVGDSWG,f0328241-32be-4fb7-9be3-c981baf476c0,bdd8e608-4fd1-48ea-b329-ddf19eb6be84,881dbef8-fa1b-491a-85a4-92724139d535,e0ec1868-57d4-4175-acc8-36c1ff3bd1b6,01HWZ0XB6HV4S2KYKV06SAR34R,01HWZ0XB6HZRE47J67EKY87SSG,01HWZ0XB6H9T1FCAEFACQNKND6,01HWZ0XB6HK0BPGSXTNTYXJDXJ,01HWZ0XB6H3AHB3SMXYESVXVST,01HWZ0XB6HZEHBGARB9BDYSDVR,01HWZ0XB6JV2AQ01Z0DMTMB7WG,01HWZ0XB6JTHY4CW1PC47JTWRJ,01HWZ0XB6JJK8AP3ZMHKG95F4V
01HWZ0XB6JCX623E4MQ9MGWYPA,99c13e8f-8af0-43b8-8c57-cbece43b8a20,d0da62e6-c36f-4895-9250-faddd5893af6,79015228-e6c0-499f-b90c-d60aadff332a,149c8dc5-abdc-4bc1-8be2-2c56c6a98ac8,01HWZ0XB6JWGCDQH3PJH1XT5R1,01HWZ0XB6JMKER9DA83S3PE59M,01HWZ0XB6JCBX3G1NVPM29GX4Q,01HWZ0XB6KP69BRBVESRCRC1RA,01HWZ0XB6KSWVJX8RZEFMFG998,01HWZ0XB6KV0FQ7D86AGT7Y5QR,01HWZ0XB6KZ2CZ5JEKMBFH4ZNA,01HWZ0XB6K9QA1TQNC1JR8M4QQ,01HWZ0XB6K7QYDDYD0WTRJMTWP
01HWZ0XB6M67VGWTRS62E85CM1,e7d84a5d-45cd-4565-a33e-f7d6c0c06aab,14042b7a-e854-4abc-b2e4-ab766a4d9e40,4a88bc2e-4f4c-4bb6-814e-ba3ceb7b023e,a1e1703d-b96d-4771-93ef-9ef0853dec62,01HWZ0XB6MRXRB49S7KQ455SKW,01HWZ0XB6MW5V1AB0QP880GFXT,01HWZ0XB6NDY37GBD50ZJ0AVTT,01HWZ0XB6NSZSMKRKWT9FH04HV,01HWZ0XB6NFGQTTMQXX4PYWN8P,01HWZ0XB6NZR8QMKCCTFH1CX3H,01HWZ0XB6NTWP5XMDKN5A50PT6,01HWZ0XB6NC8VQ5NMFRFNAS52E,01HWZ0XB6N153HRWZ42R81JP2P
01HWZ0XB6NJNW2297FB71AZY31,439e62cc-1d7f-4907-b329-a1e432a2ecb0,c71271e8-3a2e-43a9-8a37-9c52be8c991a,b00ff13e-c6ee-4c3f-b9ef-81ff969c1962,87fc0845-d81a-4d73-9549-c6a1426cd583,01HWZ0XB6P24ZKE85Y9Y2Z36PW,01HWZ0XB6PWZ8V55B8F4WZ6TT7,01HWZ0XB6P94KYKC8GAN3E33KS,01HWZ0XB6P2MCXAZNXPT5ZYQXR,01HWZ0XB6P83K2EXFHSGWZ2NZR,01HWZ0XB6PR8MFEGS6DH80RY3K,01HWZ0XB6QHCHKES6C0K9R19QM,01HWZ0XB6QWB2SD2XVZETSTASK,01HWZ0XB6Q55Q344JRQZGY6DEF
01HWZ0XB6QSP83CJ5KX52RJA40,1bb36599-a1fb-4d5c-bc45-34713f7ec76d,8def574f-70b5-4193-bfbd-6ef941359254,cc01f81c-6fe7-4712-bae8-a51ee5eb0af0,1e5558ab-686d-4463-94d9-075f065200d2,01HWZ0XB6QBSVDVCRXVYQ3YTTP,01HWZ0XB6QZ7JBS0TP7MN2ZWNF,01HWZ0XB6RMDZGECARAHV7B9DG,01HWZ0XB6R2X6NJTGK4FJM9NCR,01HWZ0XB6R5BSFP4894PY93KJ6,01HWZ0XB6RK5EKNH9ZFQZ2TW1H,01HWZ0XB6R4CCR0KAA8V18ZMPX,01HWZ0XB6R2QG7JJC1XP2BV471,01HWZ0XB6R6QWVY26Z86H7HAG5
01HWZ0XB6SQEBHTR915GSMVZ1G,18a74e90-5368-43fd-9ad6-bb02c27095d7,29f28fea-ff37-49fc-836f-512f580d1619,0f8a8278-e087-48b5-bd46-59ef5c87deac,6d251eb7-2b97-4b14-9994-b4966793a818,01HWZ0XB6SWZR1P7K93BCVTMJ5,01HWZ0XB6S94VNJMGJEKZ1QQZ7,01HWZ0XB6SD1Y78D8SRQZ7W9Q1,01HWZ0XB6S6W2WW7W5D5YY8VZC,01HWZ0XB6SAQVNWDT095F52879,01HWZ0XB6S0A7JTMNT5P898BG7,01HWZ0XB6TC3Z6A7JDJPQWRF1C,01HWZ0XB6THDR2G92EX9NVQM2Y,01HWZ0XB6TN0DBE3QW9B0BP23B
01HWZ0XB6TR9PTKGAE9EREH6T3,eac8f21e-dae6-4e12-8e84-b2cdf9f90705,d5d9b918-baf9-48d9-b9a9-64cf30aded7c,a2ef04e7-6b7d-4758-8263-0102d3e557ba,0672e4ef-0a6e-4184-a19d-8752dc884fa2,01HWZ0XB6TVVA91HC4D1K50GZH,01HWZ0XB6T8T82KYEH7GY0FTYC,01HWZ0XB6TKQF4Q680X80HZEXA,01HWZ0XB6VB9PQNJYZ20BDZR67,01HWZ0XB6VHWJ6S57M2VPADPS3,01HWZ0XB6V3RHERKY8DNBWQHZ5,01HWZ0XB6V6VX4MBJEWNF5DC9V,01HWZ0XB6VFBMEG8GFHBTBSY60,01HWZ0XB6V9S1WXT7QX4NGDDZ1
01HWZ0XB6VV2AWJ6BW36Z2GT5G,ec270897-454b-48c9-ac2f-259824a0ae2b,c044ca66-1a6a-42e2-867e-011cdeec3d58,21b7b8d4-bb2e-4269-a81c-d50302850b20,eb2623fa-cb17-4963-8a36-23deebee2d2a,01HWZ0XB6WDSPSSRMMTF88Z31V,01HWZ0XB6WW9D7ZEAS8BWE1JQ5,01HWZ0XB6W68DGKXPX4T730ZWZ,01HWZ0XB6W3TY5BY4C0VWDZ6W1,01HWZ0XB6W3XGQJT1YBJ76KQRS,01HWZ0XB6WFAAZPAZ8ST3KS494,01HWZ0XB6W3GN8CGHDMC0V5JHC,01HWZ0XB6W5FR5V2F7FXWS5PDD,01HWZ0XB6WP2WXNTVS48M62MMD
01HWZ0XB6XRP1WEAJGGMSYDS3X,2a548dc4-f18e-4e42-b57d-37ee1bf0bffa,6d9de87c-be2f-4a8a-835a-916c1dba0422,76a8cf92-f6ec-4cbf-a666-3ff005cf63a1,3ebcd18e-5bd8-459f-94cd-f47ff6476a8e,01HWZ0XB6XKGJ6K7KBSSBCSRJC,01HWZ0XB6XWHJ85SEBPS3512P5,01HWZ0XB6XYRKVHCC6THN18BEH,01HWZ0XB6X9P495GSJNV662YXJ,01HWZ0XB6XXFYT33KKPZB97GTN,01HWZ0XB6YSAVFZ7VJ9199G0BQ,01HWZ0XB6YWB9818CYA97869HS,01HWZ0XB6YPADNAGH4VRQX3FT4,01HWZ0XB6Y8A57YK54XTQN0PBZ
01HWZ0XB6YQV1F5QYPSJTBTGR2,6cd7ca9d-6aa3-4e84-9f69-cb0955c9a1c1,46a74a2f-0cd9-4923-8a2f-52d80bf417e2,cd9720af-a487-470c-ae03-801cf170ce74,58512465-4fd4-4f21-89ab-cb3c0169d5ce,01HWZ0XB6YYPARPAD4ZRACQ35Q,01HWZ0XB6YQG1RD8R4G2QDKXPX,01HWZ0XB6Z8E7X1EYTG2APQ9S2,01HWZ0XB6ZJ0YRZ9QAZEPSX70E,01HWZ0XB6ZVJSJM776AWR1ZSWZ,01HWZ0XB6ZWJ9CGRMWRC5H0AGK,01HWZ0XB6Z98WK53RJ1K9W22QP,01HWZ0XB6ZA7GJ3NJG5RAZ0KAR,01HWZ0XB6ZHMBJ202RWRKW9QPW
01HWZ0XB6ZSX9YXFMFRPCZPHBS,e307b0ef-0823-407a-a5c4-ae1e0fdc1cb5,3da01935-40f0-468b-9772-937818bf53a2,dfe879b6-78b0-4f4e-b94f-cc9f8dea737b,e1976e1b-c7eb-4443-8178-32b92a28435c,01HWZ0XB708CJXYT5PGY63TJ9P,01HWZ0XB70WCYMC823FX058D6S,01HWZ0XB70ZB8PJWTQ0HHV3E66,01HWZ0XB70VEW69Y59M6TTSX0A,01HWZ0XB70SVRB2FK9JS5AM86C,01HWZ0XB70D1BJQ4NQJ29AC6QF,01HWZ0XB70YPF3VYD9KABMR3PA,01HWZ0XB71K8D97PTEM62Y5B15,01HWZ0XB719594EABVFMHTMCQM
01HWZ0XB7160NT3Q6785SRP57V,10438eb3-752f-4a4f-8964-78cd1add873b,01800248-d064-48f2-b814-f0b3aae20991,a426db0d-f720-4888-b65f-78d0feb8aa62,b4a4f991-45bb-49a1-a4c5-b930de2fd958,01HWZ0XB71ZJVE01KMMSQ3SMWP,01HWZ0XB71DQ04Q3CJQ2B65SPS,01HWZ0XB71SMS7Y3TQX2ZMEAGX,01HWZ0XB71TT53Y4FX481M8CFG,01HWZ0XB72ES4QB4QRAM4K8YDN,01HWZ0XB72HHN397A72W8K48XK,01HWZ0XB72MHVRQFHX7DP2KHK2,01HWZ0XB727RWDHCZ11TRX40M5,01HWZ0XB72366FK1QNRC9PZ2N1
01HWZ0XB72VCZST6D4MP5C10A2,52f5e0da-9f9d-492a-8d11-09b03bea1fbf,b0c43e63-c595-48f6-9bed-c50d1f7df023,6f11bb4a-6be9-4571-acd8-447cf5ce3881,528a55f0-564b-409b-b230-55f2d1f27ec4,01HWZ0XB73Y8KPG3HAX4GW9NW0,01HWZ0XB7344K1GCYE0KRNFYEE,01HWZ0XB738MD5XRWKE6SWKF36,01HWZ0XB73B02R567Y0SXGAC1X,01HWZ0XB73DHHZ0ERD6S681HDD,01HWZ0XB73F1JJGK1SC9C56AQ4,01HWZ0XB73YJBXSJX9SV8HZQRG,01HWZ0XB73G0261BMWBDMWD0S0,01HWZ0XB73XS44DWDGDPQF72C7
01HWZ0XB73GFYQBGFZXT3WEYK1,233e8c73-ff9a-4f7b-a818-7b4ce4bd2bd1,ea648925-9ce7-4d5e-bcc9-558935af5e66,fe69dded-df55-491e-a95b-8b186c211830,7e9ea0ec-cd3f-4e41-a3cb-4863dbe6bf33,01HWZ0XB742NWCK0QQ7MRHJRW0,01HWZ0XB74YRFQM7BZS9TZBQK5,01HWZ0XB740J1XDDG10CDHP6DR,01HWZ0XB74XV07M7C89XJAVZ76,01HWZ0XB745AWRNC9ME01YJT0W,01HWZ0XB74B920N6R1ERHWY655,01HWZ0XB75NY0KYVNYGEXCPPJ6,01HWZ0XB75F75WHG6SDZPW8T1B,01HWZ0XB759RZJF5ZA4EZ8R8XS
